Crime,Date,Time,Address,Lat,Lng
Theft,02/25/19,01:40 PM,3700 BLOCK OF MODESTO DR SAN BERNARDINO COUNTY,34.1581521,-117.2607291
Theft,02/25/19,02:36 PM,600 BLOCK OF E 3RD ST SAN BERNARDINO COUNTY,34.1043088,-117.2731687
Other,02/25/19,03:30 PM,5900 BLOCK OF ORANGE KNOLL AVE SAN BERNARDINO COUNTY,34.1463591,-117.2359393
Other,02/25/19,04:34 PM,1900 BLOCK OF W ADAMS ST SAN BERNARDINO COUNTY,34.1378468,-117.3311488
Theft,02/25/19,05:11 PM,1200 BLOCK OF E MARSHALL BLVD SAN BERNARDINO COUNTY,34.1494778,-117.2611295
Shooting,02/25/19,05:13 PM,JUNE ST/W DARBY ST SAN BERNARDINO COUNTY,34.146995,-117.3485729
Vandalism,02/25/19,06:50 PM,3100 BLOCK OF N DEL REY DR SAN BERNARDINO COUNTY,34.1467655,-117.2629486
Arrest,02/25/19,02:24 AM,GRAY ST/W 3RD AVE SAN BERNARDINO COUNTY,34.1651706,-117.3605537
Theft,02/25/19,03:39 AM,COURT ST/PINE ST SAN BERNARDINO COUNTY,34.1056416,-117.2939928
Theft,02/25/19,08:45 AM,3200 BLOCK OF DUFFY ST SAN BERNARDINO COUNTY,34.154267,-117.3441881
Theft,02/25/19,09:14 AM,25100 BLOCK OF E BASELINE ST SAN BERNARDINO COUNTY,34.1213256,-117.2535142
Other,02/25/19,09:28 AM,2100 BLOCK OF W OGDEN ST SAN BERNARDINO COUNTY,34.1588038,-117.340048
Assault,02/25/19,10:02 AM,2200 BLOCK OF W 1ST AVE SAN BERNARDINO COUNTY,34.1600764,-117.3444554
Theft,02/25/19,11:50 AM,3800 BLOCK OF N BRONSON ST SAN BERNARDINO COUNTY,34.1653617,-117.3575849
Other,02/25/19,12:39 AM,2200 BLOCK OF MALLORY ST SAN BERNARDINO COUNTY,34.1433502,-117.344192
Arrest,02/25/19,02:24 AM,RESERVOIR ST/GRAY ST SAN BERNARDINO COUNTY,34.1651561,-117.3627263
Arrest,02/24/19,07:17 PM,4000 BLOCK OF N F ST SAN BERNARDINO COUNTY,34.1647851,-117.3031541
Theft,02/24/19,08:29 PM,E 19TH ST/YATES AVE SAN BERNARDINO COUNTY,34.1318086,-117.2561171
Other,02/24/19,11:40 PM,24900 BLOCK OF E 3RD ST SAN BERNARDINO COUNTY,34.105064,-117.2490232
Burglary,02/24/19,12:18 PM,900 BLOCK OF W 40TH ST SAN BERNARDINO COUNTY,34.1646072,-117.3026445
Theft,02/24/19,02:34 PM,6500 BLOCK OF ELM AVE SAN BERNARDINO COUNTY,34.1349283,-117.2470667
Other,02/24/19,05:13 PM,4200 BLOCK OF CEDAR DR SAN BERNARDINO COUNTY,34.1720668,-117.3084134
Other,02/24/19,05:58 PM,11400 BLOCK OF SAN TIMOTEO CANYON RD SAN BERNARDINO COUNTY,34.0473198,-117.2193359
Assault,02/24/19,06:01 PM,4000 BLOCK OF 1/2 N 3RD AVE SAN BERNARDINO COUNTY,34.1694645,-117.3048615
